Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000163,8,00,00,00,00,00,01,30,55,27912.795390,R
,0,00000163,8,00,00,00,00,00,01,30,56,27912.797430,R
,0,00000163,8,00,00,00,00,00,01,30,57,27912.799480,R
,0,00000163,8,00,00,00,00,00,01,30,58,27912.801530,R
,0,00000230,8,64,00,00,00,00,00,00,00,27912.802040,R
,0,00000090,8,64,00,00,00,00,00,00,00,27912.802300,R
,0,00000323,8,64,00,00,00,00,00,00,00,27912.802550,R
,0,00000163,8,00,00,00,00,00,01,30,59,27912.803580,R
,0,00000163,8,00,00,00,00,00,01,30,5A,27912.805630,R
,0,00000163,8,00,00,00,00,00,01,30,5B,27912.807670,R
,0,00000163,8,00,00,00,00,00,01,30,5C,27912.809720,R
,0,00000163,8,00,00,00,00,00,01,30,5D,27912.811690,R
,0,00000230,8,64,00,00,00,00,00,00,00,27912.812030,R
,0,00000090,8,64,00,00,00,00,00,00,00,27912.812280,R
,0,00000323,8,64,00,00,00,00,00,00,00,27912.812540,R
,0,00000163,8,00,00,00,00,00,01,30,5E,27912.813730,R
,0,00000163,8,00,00,00,00,00,01,30,5F,27912.815780,R
,0,00000163,8,00,00,00,00,00,01,30,60,27912.817830,R
,0,00000163,8,00,00,00,00,00,01,30,61,27912.819880,R
,0,00000163,8,00,00,00,00,00,01,30,62,27912.821930,R
,0,00000090,8,64,00,00,00,00,00,00,00,27912.822180,R
,0,00000230,8,64,00,00,00,00,00,00,00,27912.822440,R
,0,00000323,8,64,00,00,00,00,00,00,00,27912.822690,R
,0,00000163,8,00,00,00,00,00,01,30,63,27912.823970,R
,0,00000163,8,00,00,00,00,00,01,31,00,27912.826020,R
,0,00000163,8,00,00,00,00,00,01,31,01,27912.828070,R
,0,00000163,8,00,00,00,00,00,01,31,02,27912.830120,R
,0,000000A0,8,7D,0A,00,00,00,00,00,00,27912.831990,R
,0,00000090,8,64,00,00,00,00,00,00,00,27912.832250,R
,0,000000B0,8,E1,0A,00,00,00,00,00,00,27912.832510,R
,0,000000C0,8,45,0B,00,00,00,00,00,00,27912.832760,R
,0,00000163,8,00,00,00,00,00,01,31,03,27912.833020,R
,0,00000230,8,64,00,00,00,00,00,00,00,27912.833270,R
