Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000163,8,00,00,00,00,00,06,08,3B,28006.526120,R
,0,00000163,8,00,00,00,00,00,06,08,3C,28006.528170,R
,0,00000163,8,00,00,00,00,00,06,08,3D,28006.530130,R
,0,00000163,8,00,00,00,00,00,06,08,3E,28006.532180,R
,0,000000A0,8,16,08,00,00,00,00,00,00,28006.532770,R
,0,00000090,8,64,00,00,00,00,00,00,00,28006.532940,R
,0,000000B0,8,7A,08,00,00,00,00,00,00,28006.533200,R
,0,000000C0,8,DE,08,00,00,00,00,00,00,28006.533460,R
,0,00000230,8,64,00,00,00,00,00,00,00,28006.533710,R
,0,00000323,8,64,00,00,00,00,00,00,00,28006.533970,R
,0,00000163,8,00,00,00,00,00,06,08,3F,28006.534220,R
,0,00000163,8,00,00,00,00,00,06,08,40,28006.536270,R
,0,00000163,8,00,00,00,00,00,06,08,41,28006.538320,R
,0,00000163,8,00,00,00,00,00,06,08,42,28006.540370,R
,0,00000163,8,00,00,00,00,00,06,08,43,28006.542420,R
,0,000000A0,8,1B,08,00,00,00,00,00,00,28006.542760,R
,0,00000090,8,64,00,00,00,00,00,00,00,28006.543010,R
,0,000000B0,8,7F,08,00,00,00,00,00,00,28006.543180,R
,0,000000C0,8,E3,08,00,00,00,00,00,00,28006.543440,R
,0,00000230,8,64,00,00,00,00,00,00,00,28006.543700,R
,0,00000323,8,64,00,00,00,00,00,00,00,28006.543950,R
,0,00000163,8,00,00,00,00,00,06,08,44,28006.544460,R
,0,00000163,8,00,00,00,00,00,06,08,45,28006.546510,R
,0,00000163,8,00,00,00,00,00,06,08,46,28006.548470,R
,0,00000163,8,00,00,00,00,00,06,08,47,28006.550520,R
,0,00000163,8,00,00,00,00,00,06,08,48,28006.552570,R
,0,00000090,8,64,00,00,00,00,00,00,00,28006.552830,R
,0,000000A0,8,20,08,00,00,00,00,00,00,28006.553080,R
,0,000000B0,8,84,08,00,00,00,00,00,00,28006.553340,R
,0,000000C0,8,E8,08,00,00,00,00,00,00,28006.553590,R
,0,00000230,8,64,00,00,00,00,00,00,00,28006.553850,R
