Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000500,8,64,00,00,00,00,00,00,00,27568.349090,R
,0,00000565,8,00,00,00,00,00,0D,0B,4C,27568.349350,R
,0,00000163,8,00,00,00,00,00,0D,0B,4D,27568.349950,R
,0,00000565,8,00,00,00,00,00,0D,0B,4D,27568.350370,R
,0,00000163,8,00,00,00,00,00,0D,0B,4E,27568.351400,R
,0,00000565,8,00,00,00,00,00,0D,0B,4E,27568.351740,R
,0,00000163,8,00,00,00,00,00,0D,0B,4F,27568.353360,R
,0,00000565,8,00,00,00,00,00,0D,0B,4F,27568.353790,R
,0,00000163,8,00,00,00,00,00,0D,0B,50,27568.355410,R
,0,00000565,8,00,00,00,00,00,0D,0B,50,27568.355830,R
,0,000000A3,8,5C,08,00,00,00,00,00,00,27568.357110,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.357370,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.357630,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.357880,R
,0,000000B3,8,24,09,00,00,00,00,00,00,27568.358140,R
,0,00000163,8,00,00,00,00,00,0D,0B,51,27568.358390,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.358650,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.358820,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.359080,R
,0,00000565,8,00,00,00,00,00,0D,0B,51,27568.359330,R
,0,00000163,8,00,00,00,00,00,0D,0B,52,27568.359930,R
,0,00000565,8,00,00,00,00,00,0D,0B,52,27568.360360,R
,0,00000163,8,00,00,00,00,00,0D,0B,53,27568.361550,R
,0,00000565,8,00,00,00,00,00,0D,0B,53,27568.361980,R
,0,00000163,8,00,00,00,00,00,0D,0B,54,27568.363600,R
,0,00000565,8,00,00,00,00,00,0D,0B,54,27568.364030,R
,0,00000163,8,00,00,00,00,00,0D,0B,55,27568.365650,R
,0,00000565,8,00,00,00,00,00,0D,0B,55,27568.365990,R
,0,000000A3,8,5C,08,00,00,00,00,00,00,27568.367100,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.367350,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.367610,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.367870,R
,0,000000B3,8,24,09,00,00,00,00,00,00,27568.368120,R
,0,00000163,8,00,00,00,00,00,0D,0B,56,27568.368380,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.368630,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.368890,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.369060,R
,0,00000565,8,00,00,00,00,00,0D,0B,56,27568.369320,R
,0,00000163,8,00,00,00,00,00,0D,0B,57,27568.369910,R
,0,00000565,8,00,00,00,00,00,0D,0B,57,27568.370340,R
,0,00000163,8,00,00,00,00,00,0D,0B,58,27568.371710,R
,0,00000565,8,00,00,00,00,00,0D,0B,58,27568.372130,R
,0,00000163,8,00,00,00,00,00,0D,0B,59,27568.373750,R
,0,00000565,8,00,00,00,00,00,0D,0B,59,27568.374180,R
,0,00000163,8,00,00,00,00,00,0D,0B,5A,27568.375800,R
,0,00000565,8,00,00,00,00,00,0D,0B,5A,27568.376230,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.377170,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.377340,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.377590,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.377850,R
,0,00000163,8,00,00,00,00,00,0D,0B,5B,27568.378110,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.378360,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.378620,R
,0,00000565,8,00,00,00,00,00,0D,0B,5B,27568.378870,R
,0,00000163,8,00,00,00,00,00,0D,0B,5C,27568.379900,R
,0,00000565,8,00,00,00,00,00,0D,0B,5C,27568.380330,R
,0,00000163,8,00,00,00,00,00,0D,0B,5D,27568.381950,R
,0,00000565,8,00,00,00,00,00,0D,0B,5D,27568.382370,R
,0,00000163,8,00,00,00,00,00,0D,0B,5E,27568.383990,R
,0,00000565,8,00,00,00,00,00,0D,0B,5E,27568.384420,R
,0,00000163,8,00,00,00,00,00,0D,0B,5F,27568.386040,R
,0,00000565,8,00,00,00,00,00,0D,0B,5F,27568.386380,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.387150,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.387410,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.387660,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.387830,R
,0,00000163,8,00,00,00,00,00,0D,0B,60,27568.388090,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.388350,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.388600,R
,0,00000565,8,00,00,00,00,00,0D,0B,60,27568.388860,R
,0,00000163,8,00,00,00,00,00,0D,0B,61,27568.390140,R
,0,00000565,8,00,00,00,00,00,0D,0B,61,27568.390480,R
,0,00000163,8,00,00,00,00,00,0D,0B,62,27568.392100,R
,0,00000565,8,00,00,00,00,00,0D,0B,62,27568.392530,R
,0,00000163,8,00,00,00,00,00,0D,0B,63,27568.394150,R
,0,00000565,8,00,00,00,00,00,0D,0B,63,27568.394580,R
,0,00000163,8,00,00,00,00,00,0D,0C,00,27568.396200,R
,0,00000565,8,00,00,00,00,00,0D,0C,00,27568.396620,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.397140,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.397390,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.397650,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.397900,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.398070,R
,0,00000163,8,00,00,00,00,00,0D,0C,01,27568.398330,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.398590,R
,0,00000565,8,00,00,00,00,00,0D,0C,01,27568.398840,R
,0,00000163,8,00,00,00,00,00,0D,0C,02,27568.400290,R
,0,00000565,8,00,00,00,00,00,0D,0C,02,27568.400720,R
,0,00000163,8,00,00,00,00,00,0D,0C,03,27568.402340,R
,0,00000565,8,00,00,00,00,00,0D,0C,03,27568.402770,R
,0,00000163,8,00,00,00,00,00,0D,0C,04,27568.404390,R
,0,00000565,8,00,00,00,00,00,0D,0C,04,27568.404730,R
,0,00000163,8,00,00,00,00,00,0D,0C,05,27568.406440,R
,0,00000565,8,00,00,00,00,00,0D,0C,05,27568.406780,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.407120,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.407380,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.407630,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.407890,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.408060,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.408310,R
,0,00000163,8,00,00,00,00,00,0D,0C,06,27568.408570,R
,0,00000565,8,00,00,00,00,00,0D,0C,06,27568.409000,R
,0,00000163,8,00,00,00,00,00,0D,0C,07,27568.410450,R
,0,00000565,8,00,00,00,00,00,0D,0C,07,27568.410870,R
,0,00000163,8,00,00,00,00,00,0D,0C,08,27568.412500,R
,0,00000565,8,00,00,00,00,00,0D,0C,08,27568.412920,R
,0,00000163,8,00,00,00,00,00,0D,0C,09,27568.414540,R
,0,00000565,8,00,00,00,00,00,0D,0C,09,27568.414970,R
,0,00000163,8,00,00,00,00,00,0D,0C,0A,27568.416590,R
,0,00000565,8,00,00,00,00,00,0D,0C,0A,27568.417020,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.417270,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.417530,R
,0,000000A0,8,61,08,00,00,00,00,00,00,27568.417700,R
,0,000000B0,8,C5,08,00,00,00,00,00,00,27568.417960,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.418210,R
,0,000000C0,8,29,09,00,00,00,00,00,00,27568.418470,R
,0,00000163,8,00,00,00,00,00,0D,0C,0B,27568.418730,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.418980,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.419240,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.419490,R
,0,00000565,8,00,00,00,00,00,0D,0C,0B,27568.419660,R
,0,00000163,8,00,00,00,00,00,0D,0C,0C,27568.420690,R
,0,00000565,8,00,00,00,00,00,0D,0C,0C,27568.421110,R
,0,00000163,8,00,00,00,00,00,0D,0C,0D,27568.422740,R
,0,00000565,8,00,00,00,00,00,0D,0C,0D,27568.423080,R
,0,00000163,8,00,00,00,00,00,0D,0C,0E,27568.424780,R
,0,00000565,8,00,00,00,00,00,0D,0C,0E,27568.425130,R
,0,00000163,8,00,00,00,00,00,0D,0C,0F,27568.426830,R
,0,000000A0,8,66,08,00,00,00,00,00,00,27568.427090,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.427340,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.427600,R
,0,000000B0,8,CA,08,00,00,00,00,00,00,27568.427860,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.428110,R
,0,000000C0,8,2E,09,00,00,00,00,00,00,27568.428370,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.428620,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.428880,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.429050,R
,0,00000163,8,00,00,00,00,00,0D,0C,10,27568.429310,R
,0,00000565,8,00,00,00,00,00,0D,0C,0F,27568.429560,R
,0,00000565,8,00,00,00,00,00,0D,0C,10,27568.429820,R
,0,00000163,8,00,00,00,00,00,0D,0C,11,27568.430840,R
,0,00000565,8,00,00,00,00,00,0D,0C,11,27568.431270,R
,0,00000163,8,00,00,00,00,00,0D,0C,12,27568.432890,R
,0,00000565,8,00,00,00,00,00,0D,0C,12,27568.433320,R
,0,00000163,8,00,00,00,00,00,0D,0C,13,27568.434940,R
,0,00000565,8,00,00,00,00,00,0D,0C,13,27568.435370,R
,0,00000163,8,00,00,00,00,00,0D,0C,14,27568.436990,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.437240,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.437500,R
,0,000000A0,8,6B,08,00,00,00,00,00,00,27568.437750,R
,0,000000B0,8,CF,08,00,00,00,00,00,00,27568.438010,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.438180,R
,0,000000C0,8,33,09,00,00,00,00,00,00,27568.438440,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.438690,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.438950,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.439210,R
,0,00000163,8,00,00,00,00,00,0D,0C,15,27568.439460,R
,0,00000565,8,00,00,00,00,00,0D,0C,14,27568.439720,R
,0,00000565,8,00,00,00,00,00,0D,0C,15,27568.439970,R
,0,00000163,8,00,00,00,00,00,0D,0C,16,27568.441080,R
,0,00000565,8,00,00,00,00,00,0D,0C,16,27568.441420,R
,0,00000163,8,00,00,00,00,00,0D,0C,17,27568.443130,R
,0,00000565,8,00,00,00,00,00,0D,0C,17,27568.443470,R
,0,00000163,8,00,00,00,00,00,0D,0C,18,27568.445180,R
,0,00000565,8,00,00,00,00,00,0D,0C,18,27568.445520,R
,0,000000A0,8,70,08,00,00,00,00,00,00,27568.447060,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.447310,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.447570,R
,0,000000B0,8,D4,08,00,00,00,00,00,00,27568.447820,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.448080,R
,0,000000C0,8,38,09,00,00,00,00,00,00,27568.448340,R
,0,00000163,8,00,00,00,00,00,0D,0C,19,27568.448590,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.448850,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.449100,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.449270,R
,0,00000565,8,00,00,00,00,00,0D,0C,19,27568.449530,R
,0,00000163,8,00,00,00,00,00,0D,0C,1A,27568.450210,R
,0,00000565,8,00,00,00,00,00,0D,0C,1A,27568.450550,R
,0,00000163,8,00,00,00,00,00,0D,0C,1B,27568.451240,R
,0,00000565,8,00,00,00,00,00,0D,0C,1B,27568.451660,R
,0,00000163,8,00,00,00,00,00,0D,0C,1C,27568.453290,R
,0,00000565,8,00,00,00,00,00,0D,0C,1C,27568.453710,R
,0,00000163,8,00,00,00,00,00,0D,0C,1D,27568.455330,R
,0,00000565,8,00,00,00,00,00,0D,0C,1D,27568.455760,R
,0,000000A1,8,63,06,00,00,00,00,00,00,27568.457130,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.457380,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.457550,R
,0,000000B1,8,63,06,00,00,00,00,00,00,27568.457810,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.458060,R
,0,00000163,8,00,00,00,00,00,0D,0C,1E,27568.458320,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.458580,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.458830,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.459090,R
,0,00000565,8,00,00,00,00,00,0D,0C,1E,27568.459340,R
,0,00000163,8,00,00,00,00,00,0D,0C,1F,27568.459940,R
,0,00000565,8,00,00,00,00,00,0D,0C,1F,27568.460280,R
,0,00000163,8,00,00,00,00,00,0D,0C,20,27568.461480,R
,0,00000565,8,00,00,00,00,00,0D,0C,20,27568.461820,R
,0,00000163,8,00,00,00,00,00,0D,0C,21,27568.463530,R
,0,00000565,8,00,00,00,00,00,0D,0C,21,27568.463870,R
,0,00000163,8,00,00,00,00,00,0D,0C,22,27568.465570,R
,0,00000565,8,00,00,00,00,00,0D,0C,22,27568.465910,R
,0,000000A1,8,68,06,00,00,00,00,00,00,27568.467110,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.467370,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.467620,R
,0,000000B1,8,68,06,00,00,00,00,00,00,27568.467790,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.468050,R
,0,00000163,8,00,00,00,00,00,0D,0C,23,27568.468300,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.468560,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.468820,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.469070,R
,0,00000565,8,00,00,00,00,00,0D,0C,23,27568.469330,R
,0,00000163,8,00,00,00,00,00,0D,0C,24,27568.469930,R
,0,00000565,8,00,00,00,00,00,0D,0C,24,27568.470270,R
,0,00000163,8,00,00,00,00,00,0D,0C,25,27568.471630,R
,0,00000565,8,00,00,00,00,00,0D,0C,25,27568.472060,R
,0,00000163,8,00,00,00,00,00,0D,0C,26,27568.473680,R
,0,00000565,8,00,00,00,00,00,0D,0C,26,27568.474110,R
,0,00000163,8,00,00,00,00,00,0D,0C,27,27568.475730,R
,0,00000565,8,00,00,00,00,00,0D,0C,27,27568.476150,R
,0,000000A1,8,6D,06,00,00,00,00,00,00,27568.477090,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.477350,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.477610,R
,0,000000B1,8,6D,06,00,00,00,00,00,00,27568.477860,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.478030,R
,0,00000163,8,00,00,00,00,00,0D,0C,28,27568.478290,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.478540,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.478800,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.479060,R
,0,00000565,8,00,00,00,00,00,0D,0C,28,27568.479310,R
,0,00000163,8,00,00,00,00,00,0D,0C,29,27568.479910,R
,0,00000565,8,00,00,00,00,00,0D,0C,29,27568.480250,R
,0,00000163,8,00,00,00,00,00,0D,0C,2A,27568.481870,R
,0,00000565,8,00,00,00,00,00,0D,0C,2A,27568.482210,R
,0,00000163,8,00,00,00,00,00,0D,0C,2B,27568.483920,R
,0,00000565,8,00,00,00,00,00,0D,0C,2B,27568.484260,R
,0,00000163,8,00,00,00,00,00,0D,0C,2C,27568.485970,R
,0,00000565,8,00,00,00,00,00,0D,0C,2C,27568.486310,R
,0,000000C4,8,6D,06,00,00,00,00,00,00,27568.487080,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.487330,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.487590,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.487850,R
,0,00000163,8,00,00,00,00,00,0D,0C,2D,27568.488100,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.488270,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.488530,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.488780,R
,0,00000565,8,00,00,00,00,00,0D,0C,2D,27568.489040,R
,0,00000163,8,00,00,00,00,00,0D,0C,2E,27568.489980,R
,0,00000565,8,00,00,00,00,00,0D,0C,2E,27568.490410,R
,0,00000163,8,00,00,00,00,00,0D,0C,2F,27568.492030,R
,0,00000565,8,00,00,00,00,00,0D,0C,2F,27568.492450,R
,0,00000163,8,00,00,00,00,00,0D,0C,30,27568.494070,R
,0,00000565,8,00,00,00,00,00,0D,0C,30,27568.494500,R
,0,00000163,8,00,00,00,00,00,0D,0C,31,27568.496120,R
,0,00000565,8,00,00,00,00,00,0D,0C,31,27568.496550,R
,0,000000C4,8,6D,06,00,00,00,00,00,00,27568.497060,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.497320,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.497570,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.497830,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.498090,R
,0,00000163,8,00,00,00,00,00,0D,0C,32,27568.498340,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.498510,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.498770,R
,0,00000565,8,00,00,00,00,00,0D,0C,32,27568.499020,R
,0,00000163,8,00,00,00,00,00,0D,0C,33,27568.500220,R
,0,00000565,8,00,00,00,00,00,0D,0C,33,27568.500560,R
,0,00000163,8,00,00,00,00,00,0D,0C,34,27568.502270,R
,0,00000565,8,00,00,00,00,00,0D,0C,34,27568.502610,R
,0,00000163,8,00,00,00,00,00,0D,0C,35,27568.504310,R
,0,00000565,8,00,00,00,00,00,0D,0C,35,27568.504660,R
,0,00000163,8,00,00,00,00,00,0D,0C,36,27568.506280,R
,0,00000565,8,00,00,00,00,00,0D,0C,36,27568.506700,R
,0,000000C4,8,6D,06,00,00,00,00,00,00,27568.507050,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.507300,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.507560,R
