Chn,dec,id,Time,t,B0,B0,B0,,C0,,,,,,,
89,152,98,27626.60607,0.05546,24,,,,40,,,,44,,,
90,176,000000B0,27626.60633,0.05572,0,3,90,0.033333333,16,,,,20,,,
91,178,000000B2,27626.60659,0.05598,-2,,,,14,,,,18,,,
92,192,000000C0,27626.60684,0.05623,-16,,,,0,5,92,0.054347826,4,,,
93,560,230,27626.6071,0.05649,-384,,,,-368,,,,-364,,,
94,803,323,27626.60735,0.05674,-627,,,,-611,,,,-607,,,
95,1280,500,27626.60761,0.057,-1104,,,,-1088,,,,-1084,,,
96,355,163,27626.60787,0.05726,-179,,,,-163,,,,-159,,,
97,1381,565,27626.60804,0.05743,-1205,,,,-1189,,,,-1185,,,
98,1381,565,27626.60829,0.05768,-1205,,,,-1189,,,,-1185,,,
99,355,163,27626.60932,0.05871,-179,,,,-163,,,,-159,,,
100,1381,565,27626.60974,0.05913,-1205,,,,-1189,,,,-1185,,,
101,355,163,27626.61137,0.06076,-179,,,,-163,,,,-159,,,
102,1381,565,27626.61179,0.06118,-1205,,,,-1189,,,,-1185,,,
103,355,163,27626.61341,0.0628,-179,,,,-163,,,,-159,,,
104,1381,565,27626.61384,0.06323,-1205,,,,-1189,,,,-1185,,,
105,355,163,27626.61546,0.06485,-179,,,,-163,,,,-159,,,
106,144,90,27626.61572,0.06511,32,,,,48,,,,52,,,
107,152,98,27626.61597,0.06536,24,,,,40,,,,44,,,
108,160,000000A0,27626.61623,0.06562,16,,,,32,,,,36,,,
109,176,000000B0,27626.61649,0.06588,0,3,19,0.157894737,16,,,,20,,,
110,178,000000B2,27626.61666,0.06605,-2,,,,14,,,,18,,,
111,192,000000C0,27626.61691,0.0663,-16,,19,,0,,,,4,,,
112,560,230,27626.61717,0.06656,-384,,,,-368,,,,-364,,,
113,803,323,27626.61742,0.06681,-627,,,,-611,,,,-607,,,
114,1280,500,27626.61768,0.06707,-1104,,,,-1088,,,,-1084,,,
115,355,163,27626.61794,0.06733,-179,,,,-163,,,,-159,,,
116,1381,565,27626.61819,0.06758,-1205,,,,-1189,,,,-1185,,,
117,1381,565,27626.61836,0.06775,-1205,,,,-1189,,,,-1185,,,
118,355,163,27626.61956,0.06895,-179,,,,-163,,,,-159,,,
119,1381,565,27626.6199,0.06929,-1205,,,,-1189,,,,-1185,,,
120,355,163,27626.62161,0.071,-179,,,,-163,,,,-159,,,
121,1381,565,27626.62195,0.07134,-1205,,,,-1189,,,,-1185,,,
122,355,163,27626.62365,0.07304,-179,,,,-163,,,,-159,,,
123,1381,565,27626.62399,0.07338,-1205,,,,-1189,,,,-1185,,,
124,160,000000A0,27626.62562,0.07501,16,,,,32,,,,36,,,
125,144,90,27626.62587,0.07526,32,,,,48,,,,52,,,
126,152,98,27626.62613,0.07552,24,,,,40,,,,44,,,
127,176,000000B0,27626.62638,0.07577,0,3,,,16,,,,20,,,
128,178,000000B2,27626.62655,0.07594,-2,,,,14,,,,18,,,
129,192,000000C0,27626.62681,0.0762,-16,,,,0,5,18,0.277777778,4,,,
130,355,163,27626.62707,0.07646,-179,,,,-163,,,,-159,,,
131,560,230,27626.62732,0.07671,-384,,,,-368,,,,-364,,,
132,803,323,27626.62758,0.07697,-627,,,,-611,,,,-607,,,
133,1280,500,27626.62783,0.07722,-1104,,,,-1088,,,,-1084,,,
134,1381,565,27626.62809,0.07748,-1205,,,,-1189,,,,-1185,,,
135,355,163,27626.62869,0.07808,-179,,,,-163,,,,-159,,,
136,1381,565,27626.62911,0.0785,-1205,,,,-1189,,,,-1185,,,
137,355,163,27626.62971,0.0791,-179,,,,-163,,,,-159,,,
138,1381,565,27626.63014,0.07953,-1205,,,,-1189,,,,-1185,,,
139,355,163,27626.63176,0.08115,-179,,,,-163,,,,-159,,,
140,1381,565,27626.63219,0.08158,-1205,,,,-1189,,,,-1185,,,
141,355,163,27626.63381,0.0832,-179,,,,-163,,,,-159,,,
142,1381,565,27626.63423,0.08362,-1205,,,,-1189,,,,-1185,,,
143,160,000000A0,27626.6356,0.08499,16,,,,32,,,,36,,,
144,144,90,27626.63586,0.08525,32,,,,48,,,,52,,,
145,152,98,27626.63611,0.0855,24,,,,40,,,,44,,,
146,176,000000B0,27626.63637,0.08576,0,3,,,16,,,,20,,,
147,178,000000B2,27626.63662,0.08601,-2,,,,14,,,,18,,,
148,192,000000C0,27626.63679,0.08618,-16,,,,0,5,,,4,,,
149,355,163,27626.63705,0.08644,-179,,,,-163,,,,-159,,,
150,560,230,27626.63731,0.0867,-384,,,,-368,,,,-364,,,
151,803,323,27626.63756,0.08695,-627,,,,-611,,,,-607,,,
152,1280,500,27626.63782,0.08721,-1104,,,,-1088,,,,-1084,,,
153,1381,565,27626.63807,0.08746,-1205,,,,-1189,,,,-1185,,,
154,355,163,27626.63867,0.08806,-179,,,,-163,,,,-159,,,
155,1381,565,27626.63901,0.0884,-1205,,,,-1189,,,,-1185,,,
156,355,163,27626.63995,0.08934,-179,,,,-163,,,,-159,,,
157,1381,565,27626.64029,0.08968,-1205,,,,-1189,,,,-1185,,,
158,355,163,27626.642,0.09139,-179,,,,-163,,,,-159,,,
159,1381,565,27626.64234,0.09173,-1205,,,,-1189,,,,-1185,,,
160,355,163,27626.64405,0.09344,-179,,,,-163,,,,-159,,,
161,1381,565,27626.64439,0.09378,-1205,,,,-1189,,,,-1185,,,
162,161,000000A1,27626.64558,0.09497,15,,,,31,,,,35,,,
163,144,90,27626.64584,0.09523,32,,,,48,,,,52,,,
164,152,98,27626.6461,0.09549,24,,,,40,,,,44,,,
165,177,000000B1,27626.64635,0.09574,-1,,,,15,,,,19,,,
166,178,000000B2,27626.64661,0.096,-2,,,,14,,,,18,,,
167,355,163,27626.64678,0.09617,-179,,,,-163,,,,-159,,,
168,560,230,27626.64703,0.09642,-384,,,,-368,,,,-364,,,
169,803,323,27626.64729,0.09668,-627,,,,-611,,,,-607,,,
170,1280,500,27626.64755,0.09694,-1104,,,,-1088,,,,-1084,,,
171,1381,565,27626.6478,0.09719,-1205,,,,-1189,,,,-1185,,,
172,355,163,27626.6484,0.09779,-179,,,,-163,,,,-159,,,
173,1381,565,27626.64874,0.09813,-1205,,,,-1189,,,,-1185,,,
174,355,163,27626.65011,0.0995,-179,,,,-163,,,,-159,,,
175,1381,565,27626.65053,0.09992,-1205,,,,-1189,,,,-1185,,,
176,355,163,27626.65215,0.10154,-179,,,,-163,,,,-159,,,
177,1381,565,27626.65258,0.10197,-1205,,,,-1189,,,,-1185,,,
178,355,163,27626.6542,0.10359,-179,,,,-163,,,,-159,,,
179,1381,565,27626.65463,0.10402,-1205,,,,-1189,,,,-1185,,,
180,161,000000A1,27626.65557,0.10496,15,,,,31,,,,35,,,
181,144,90,27626.65582,0.10521,32,,,,48,,,,52,,,
182,152,98,27626.65608,0.10547,24,,,,40,,,,44,,,
183,177,000000B1,27626.65634,0.10573,-1,,,,15,,,,19,,,
184,178,000000B2,27626.65659,0.10598,-2,,,,14,,,,18,,,
185,355,163,27626.65685,0.10624,-179,,,,-163,,,,-159,,,
186,560,230,27626.6571,0.10649,-384,,,,-368,,,,-364,,,
187,803,323,27626.65727,0.10666,-627,,,,-611,,,,-607,,,
188,1280,500,27626.65753,0.10692,-1104,,,,-1088,,,,-1084,,,
189,1381,565,27626.65779,0.10718,-1205,,,,-1189,,,,-1185,,,
190,355,163,27626.65838,0.10777,-179,,,,-163,,,,-159,,,
191,1381,565,27626.65881,0.1082,-1205,,,,-1189,,,,-1185,,,
192,355,163,27626.66035,0.10974,-179,,,,-163,,,,-159,,,
193,1381,565,27626.66069,0.11008,-1205,,,,-1189,,,,-1185,,,
194,355,163,27626.66239,0.11178,-179,,,,-163,,,,-159,,,
195,1381,565,27626.66274,0.11213,-1205,,,,-1189,,,,-1185,,,
196,355,163,27626.66436,0.11375,-179,,,,-163,,,,-159,,,
197,1381,565,27626.66478,0.11417,-1205,,,,-1189,,,,-1185,,,
198,161,000000A1,27626.66555,0.11494,15,,,,31,,,,35,,,
199,144,90,27626.66581,0.1152,32,,,,48,,,,52,,,
200,152,98,27626.66606,0.11545,24,,,,40,,,,44,,,
