id,id,time,per,
,000000B2,27453.66493,,0.11443
,163,27453.66519,,0.11469
,323,27453.66545,,0.11495
,500,27453.6657,,0.1152
,565,27453.66596,,0.11546
,163,27453.66655,,0.11605
,565,27453.66698,,0.11648
,163,27453.66835,,0.11785
,565,27453.66877,,0.11827
,163,27453.67039,,0.11989
,565,27453.67074,,0.12024
,163,27453.67244,,0.12194
,565,27453.67278,,0.12228
,230,27453.67423,0.01203,0.12373
,90,27453.67449,,0.12399
,98,27453.67475,,0.12425
,000000B2,27453.675,,0.1245
,163,27453.67517,,0.12467
,323,27453.67543,,0.12493
,500,27453.67569,,0.12519
,565,27453.67594,,0.12544
,163,27453.67654,,0.12604
,565,27453.67697,,0.12647
,163,27453.6785,,0.128
,565,27453.67893,,0.12843
,163,27453.68055,,0.13005
,565,27453.68098,,0.13048
,163,27453.6826,,0.1321
,565,27453.68302,,0.13252
,230,27453.68422,0.01178,0.13372
,90,27453.68447,,0.13397
,98,27453.68473,,0.13423
,000000B2,27453.68499,,0.13449
,163,27453.68524,,0.13474
,323,27453.68541,,0.13491
,500,27453.68567,,0.13517
,565,27453.68593,,0.13543
,163,27453.68669,,0.13619
,565,27453.68712,,0.13662
,163,27453.68874,,0.13824
,565,27453.68908,,0.13858
,163,27453.69079,,0.14029
,565,27453.69113,,0.14063
,163,27453.69284,,0.14234
,565,27453.69318,,0.14268
,230,27453.6942,0.0116,0.1437
,90,27453.69446,,0.14396
,98,27453.69471,,0.14421
,000000B2,27453.69497,,0.14447
,163,27453.69523,,0.14473
,323,27453.69548,,0.14498
,500,27453.69565,,0.14515
,565,27453.69591,,0.14541
,163,27453.69685,,0.14635
,565,27453.69727,,0.14677
,163,27453.6989,,0.1484
,565,27453.69932,,0.14882
,163,27453.70094,,0.15044
,565,27453.70137,,0.15087
,163,27453.70299,,0.15249
,565,27453.70342,,0.15292
,000000A0,27453.70419,,0.15369
,90,27453.70444,,0.15394
,98,27453.7047,,0.1542
,000000B0,27453.70495,,0.15445
,000000B2,27453.70521,,0.15471
,000000C0,27453.70547,,0.15497
,163,27453.70572,,0.15522
,230,27453.70589,0.01041,0.15539
,323,27453.70615,,0.15565
,500,27453.70641,,0.15591
,565,27453.70666,,0.15616
,163,27453.70726,,0.15676
,565,27453.70769,,0.15719
,163,27453.70914,,0.15864
,565,27453.70948,,0.15898
,163,27453.71118,,0.16068
,565,27453.71153,,0.16103
,163,27453.71323,,0.16273
,565,27453.71357,,0.16307
,000000A0,27453.71417,,0.16367
