,Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000565,,8,00,00,00,00,00,01,0D,61,,27323.164410,R
,0,00000163,,8,00,00,00,00,00,01,0D,62,,27323.165010,R
,0,00000565,,8,00,00,00,00,00,01,0D,62,,27323.165430,R
,0,00000163,,8,00,00,00,00,00,01,0D,63,,27323.166370,R
,0,00000565,,8,00,00,00,00,00,01,0D,63,,27323.166800,R
,0,00000163,,8,00,00,00,00,00,01,0E,00,,27323.168420,R
,0,00000565,,8,00,00,00,00,00,01,0E,00,,27323.168760,R
,0,00000163,,8,00,00,00,00,00,01,0E,01,,27323.170470,R
,0,00000565,,8,00,00,00,00,00,01,0E,01,,27323.170810,R
,0,000000A0,,8,3A,11,00,00,00,00,00,00,,27323.172010,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.172180,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.172430,R
,0,000000B0,,8,9E,11,00,00,00,00,00,00,,27323.172690,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.172940,R
,0,000000C0,,8,02,12,00,00,00,00,00,00,,27323.173200,R
,0,00000163,,8,00,00,00,00,00,01,0E,02,,27323.173460,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.173710,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.173970,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.174140,R
,0,00000565,,8,00,00,00,00,00,01,0E,02,,27323.174390,R
,0,00000163,,8,00,00,00,00,00,01,0E,03,,27323.174990,R
,0,00000565,,8,00,00,00,00,00,01,0E,03,,27323.175420,R
,0,00000163,,8,00,00,00,00,00,01,0E,04,,27323.176530,R
,0,00000565,,8,00,00,00,00,00,01,0E,04,,27323.176950,R
,0,00000163,,8,00,00,00,00,00,01,0E,05,,27323.178580,R
,0,00000565,,8,00,00,00,00,00,01,0E,05,,27323.179000,R
,0,00000163,,8,00,00,00,00,00,01,0E,06,,27323.180620,R
,0,00000565,,8,00,00,00,00,00,01,0E,06,,27323.181050,R
,0,000000A0,,8,3F,11,00,00,00,00,00,00,,27323.181990,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.182250,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.182500,R
,0,000000B0,,8,A3,11,00,00,00,00,00,00,,27323.182670,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.182930,R
,0,000000C0,,8,07,12,00,00,00,00,00,00,,27323.183180,R
,0,00000163,,8,00,00,00,00,00,01,0E,07,,27323.183440,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.183700,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.183950,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.184210,R
,0,00000565,,8,00,00,00,00,00,01,0E,07,,27323.184460,R
,0,00000163,,8,00,00,00,00,00,01,0E,08,,27323.185060,R
,0,00000565,,8,00,00,00,00,00,01,0E,08,,27323.185400,R
,0,00000163,,8,00,00,00,00,00,01,0E,09,,27323.186770,R
,0,00000565,,8,00,00,00,00,00,01,0E,09,,27323.187110,R
,0,00000163,,8,00,00,00,00,00,01,0E,0A,,27323.188820,R
,0,00000565,,8,00,00,00,00,00,01,0E,0A,,27323.189160,R
,0,00000163,,8,00,00,00,00,00,01,0E,0B,,27323.190860,R
,0,00000565,,8,00,00,00,00,00,01,0E,0B,,27323.191210,R
,0,000000A0,,8,44,11,00,00,00,00,00,00,,27323.191970,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.192230,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.192490,R
,0,000000B0,,8,A8,11,00,00,00,00,00,00,,27323.192660,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.192910,R
,0,000000C0,,8,0C,12,00,00,00,00,00,00,,27323.193170,R
,0,00000163,,8,00,00,00,00,00,01,0E,0C,,27323.193420,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.193680,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.193940,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.194190,R
,0,00000565,,8,00,00,00,00,00,01,0E,0C,,27323.194450,R
,0,00000163,,8,00,00,00,00,00,01,0E,0D,,27323.195050,R
,0,00000565,,8,00,00,00,00,00,01,0E,0D,,27323.195470,R
,0,00000163,,8,00,00,00,00,00,01,0E,0E,,27323.196920,R
,0,00000565,,8,00,00,00,00,00,01,0E,0E,,27323.197350,R
,0,00000163,,8,00,00,00,00,00,01,0E,0F,,27323.198970,R
,0,00000565,,8,00,00,00,00,00,01,0E,0F,,27323.199400,R
,0,00000163,,8,00,00,00,00,00,01,0E,10,,27323.201020,R
,0,00000565,,8,00,00,00,00,00,01,0E,10,,27323.201450,R
,0,000000A1,,8,02,0D,00,00,00,00,00,00,,27323.201960,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.202210,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.202470,R
,0,000000B1,,8,02,0D,00,00,00,00,00,00,,27323.202730,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.202980,R
,0,00000163,,8,00,00,00,00,00,01,0E,11,,27323.203150,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.203410,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.203660,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.203920,R
,0,00000565,,8,00,00,00,00,00,01,0E,11,,27323.204180,R
,0,00000163,,8,00,00,00,00,00,01,0E,12,,27323.205110,R
,0,00000565,,8,00,00,00,00,00,01,0E,12,,27323.205460,R
,0,00000163,,8,00,00,00,00,00,01,0E,13,,27323.207160,R
,0,00000565,,8,00,00,00,00,00,01,0E,13,,27323.207500,R
,0,00000163,,8,00,00,00,00,00,01,0E,14,,27323.209210,R
,0,00000565,,8,00,00,00,00,00,01,0E,14,,27323.209550,R
,0,00000163,,8,00,00,00,00,00,01,0E,15,,27323.211170,R
,0,00000565,,8,00,00,00,00,00,01,0E,15,,27323.211600,R
,0,000000A1,,8,07,0D,00,00,00,00,00,00,,27323.211940,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.212200,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.212450,R
,0,000000B1,,8,07,0D,00,00,00,00,00,00,,27323.212710,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.212970,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.213140,R
,0,00000163,,8,00,00,00,00,00,01,0E,16,,27323.213390,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.213650,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.213900,R
,0,00000565,,8,00,00,00,00,00,01,0E,16,,27323.214160,R
,0,00000163,,8,00,00,00,00,00,01,0E,17,,27323.215270,R
,0,00000565,,8,00,00,00,00,00,01,0E,17,,27323.215700,R
,0,00000163,,8,00,00,00,00,00,01,0E,18,,27323.217320,R
,0,00000565,,8,00,00,00,00,00,01,0E,18,,27323.217740,R
,0,00000163,,8,00,00,00,00,00,01,0E,19,,27323.219370,R
,0,00000565,,8,00,00,00,00,00,01,0E,19,,27323.219790,R
,0,00000163,,8,00,00,00,00,00,01,0E,1A,,27323.221410,R
,0,00000565,,8,00,00,00,00,00,01,0E,1A,,27323.221840,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.222010,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.222270,R
,0,000000A1,,8,0C,0D,00,00,00,00,00,00,,27323.222520,R
,0,000000B1,,8,0C,0D,00,00,00,00,00,00,,27323.222780,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.223030,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.223290,R
,0,00000163,,8,00,00,00,00,00,01,0E,1B,,27323.223550,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.223800,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.224060,R
,0,00000565,,8,00,00,00,00,00,01,0E,1B,,27323.224230,R
,0,00000163,,8,00,00,00,00,00,01,0E,1C,,27323.225510,R
,0,00000565,,8,00,00,00,00,00,01,0E,1C,,27323.225850,R
,0,00000163,,8,00,00,00,00,00,01,0E,1D,,27323.227560,R
,0,00000565,,8,00,00,00,00,00,01,0E,1D,,27323.227900,R
,0,00000163,,8,00,00,00,00,00,01,0E,1E,,27323.229520,R
,0,00000565,,8,00,00,00,00,00,01,0E,1E,,27323.229950,R
,0,00000163,,8,00,00,00,00,00,01,0E,1F,,27323.231570,R
,0,000000A3,,8,44,11,00,00,00,00,00,00,,27323.231910,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.232170,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.232420,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.232680,R
,0,000000B3,,8,0C,12,00,00,00,00,00,00,,27323.232930,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.233190,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.233450,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.233700,R
,0,00000565,,8,00,00,00,00,00,01,0E,1F,,27323.233870,R
,0,00000163,,8,00,00,00,00,00,01,0E,20,,27323.234130,R
,0,00000565,,8,00,00,00,00,00,01,0E,20,,27323.234550,R
,0,00000163,,8,00,00,00,00,00,01,0E,21,,27323.235660,R
,0,00000565,,8,00,00,00,00,00,01,0E,21,,27323.236090,R
,0,00000163,,8,00,00,00,00,00,01,0E,22,,27323.237710,R
,0,00000565,,8,00,00,00,00,00,01,0E,22,,27323.238140,R
,0,00000163,,8,00,00,00,00,00,01,0E,23,,27323.239760,R
,0,00000565,,8,00,00,00,00,00,01,0E,23,,27323.240190,R
,0,00000163,,8,00,00,00,00,00,01,0E,24,,27323.241810,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.242060,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.242320,R
,0,000000A3,,8,44,11,00,00,00,00,00,00,,27323.242490,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.242750,R
,0,000000B3,,8,0C,12,00,00,00,00,00,00,,27323.243000,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.243260,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.243510,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.243770,R
,0,00000565,,8,00,00,00,00,00,01,0E,24,,27323.244030,R
,0,00000163,,8,00,00,00,00,00,01,0E,25,,27323.244280,R
,0,00000565,,8,00,00,00,00,00,01,0E,25,,27323.244620,R
,0,00000163,,8,00,00,00,00,00,01,0E,26,,27323.245900,R
,0,00000565,,8,00,00,00,00,00,01,0E,26,,27323.246250,R
,0,00000163,,8,00,00,00,00,00,01,0E,27,,27323.247870,R
