Chn,Identifier,Flg,DLC,D0...1...2...3...4...5...6..D7,Time,Dir
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27794.855160,R
,0,000000B3,,8,C8,05,00,00,00,00,00,00,,27794.855420,R
,0,000000B5,,8,64,00,00,00,00,00,00,00,,27794.855670,R
,0,000000C2,,8,64,00,00,00,00,00,00,00,,27794.855930,R
,0,000000C5,,8,64,00,00,00,00,00,00,00,,27794.856190,R
,0,00000163,,8,00,00,00,00,00,04,18,23,,27794.856440,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27794.856700,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27794.856870,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27794.857130,R
,0,00000565,,8,00,00,00,00,00,04,18,23,,27794.857380,R
,0,00000783,,8,00,00,00,00,00,04,18,23,,27794.857810,R
,0,00000163,,8,00,00,00,00,00,04,18,24,,27794.858410,R
,0,00000565,,8,00,00,00,00,00,04,18,24,,27794.858830,R
,0,00000783,,8,00,00,00,00,00,04,18,24,,27794.859170,R
,0,00000163,,8,00,00,00,00,00,04,18,25,,27794.859770,R
,0,00000565,,8,00,00,00,00,00,04,18,25,,27794.860200,R
,0,00000783,,8,00,00,00,00,00,04,18,25,,27794.860540,R
,0,00000163,,8,00,00,00,00,00,04,18,26,,27794.861220,R
,0,00000565,,8,00,00,00,00,00,04,18,26,,27794.861650,R
,0,00000783,,8,00,00,00,00,00,04,18,26,,27794.861990,R
,0,00000163,,8,00,00,00,00,00,04,18,27,,27794.863270,R
,0,00000565,,8,00,00,00,00,00,04,18,27,,27794.863700,R
,0,00000783,,8,00,00,00,00,00,04,18,27,,27794.864040,R
,0,000000A3,,8,00,05,00,00,00,00,00,00,,27794.864460,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27794.864720,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27794.864890,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27794.865150,R
,0,000000B3,,8,C8,05,00,00,00,00,00,00,,27794.865400,R
,0,000000B5,,8,64,00,00,00,00,00,00,00,,27794.865660,R
,0,000000C2,,8,64,00,00,00,00,00,00,00,,27794.865910,R
,0,000000C5,,8,64,00,00,00,00,00,00,00,,27794.866170,R
,0,00000163,,8,00,00,00,00,00,04,18,28,,27794.866430,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27794.866680,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27794.866940,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27794.867110,R
,0,00000565,,8,00,00,00,00,00,04,18,28,,27794.867370,R
,0,00000783,,8,00,00,00,00,00,04,18,28,,27794.867790,R
,0,00000163,,8,00,00,00,00,00,04,18,29,,27794.868390,R
,0,00000565,,8,00,00,00,00,00,04,18,29,,27794.868820,R
,0,00000783,,8,00,00,00,00,00,04,18,29,,27794.869160,R
,0,00000163,,8,00,00,00,00,00,04,18,2A,,27794.869750,R
,0,00000565,,8,00,00,00,00,00,04,18,2A,,27794.870180,R
,0,00000783,,8,00,00,00,00,00,04,18,2A,,27794.870610,R
,0,00000163,,8,00,00,00,00,00,04,18,2B,,27794.871460,R
,0,00000565,,8,00,00,00,00,00,04,18,2B,,27794.871800,R
,0,00000783,,8,00,00,00,00,00,04,18,2B,,27794.872230,R
,0,00000163,,8,00,00,00,00,00,04,18,2C,,27794.873510,R
,0,00000565,,8,00,00,00,00,00,04,18,2C,,27794.873850,R
,0,00000783,,8,00,00,00,00,00,04,18,2C,,27794.874280,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27794.874530,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27794.874790,R
,0,000000A3,,8,00,05,00,00,00,00,00,00,,27794.875050,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27794.875220,R
,0,000000B3,,8,C8,05,00,00,00,00,00,00,,27794.875470,R
,0,000000B5,,8,64,00,00,00,00,00,00,00,,27794.875730,R
,0,000000C2,,8,64,00,00,00,00,00,00,00,,27794.875980,R
,0,000000C5,,8,64,00,00,00,00,00,00,00,,27794.876240,R
,0,00000163,,8,00,00,00,00,00,04,18,2D,,27794.876500,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27794.876750,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27794.877010,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27794.877260,R
,0,00000565,,8,00,00,00,00,00,04,18,2D,,27794.877430,R
,0,00000783,,8,00,00,00,00,00,04,18,2D,,27794.877860,R
,0,00000163,,8,00,00,00,00,00,04,18,2E,,27794.878460,R
,0,00000565,,8,00,00,00,00,00,04,18,2E,,27794.878890,R
,0,00000783,,8,00,00,00,00,00,04,18,2E,,27794.879230,R
,0,00000163,,8,00,00,00,00,00,04,18,2F,,27794.879820,R
,0,00000565,,8,00,00,00,00,00,04,18,2F,,27794.880250,R
,0,00000783,,8,00,00,00,00,00,04,18,2F,,27794.880590,R
,0,00000163,,8,00,00,00,00,00,04,18,30,,27794.881620,R
,0,00000565,,8,00,00,00,00,00,04,18,30,,27794.882040,R
,0,00000783,,8,00,00,00,00,00,04,18,30,,27794.882470,R
,0,00000163,,8,00,00,00,00,00,04,18,31,,27794.883660,R
,0,00000565,,8,00,00,00,00,00,04,18,31,,27794.884090,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27794.884430,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27794.884690,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27794.884940,R
